osm_id,osm_type,name,lat,lon,tags
266740082,node,Swamy Hospital,12.8550625,77.6642727,"{'amenity': 'hospital', 'created_by': 'JOSM', 'name': 'Swamy Hospital', 'name:kn': 'ಸ್ವಾಮಿ ಆಸ್ಪತ್ರೆ'}"
267214379,node,Clinic,12.9134182,77.6774852,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Clinic'}"
303924572,node,Shanti Hospital,12.9235041,77.5857517,"{'amenity': 'hospital', 'name': 'Shanti Hospital', 'name:kn': 'ಶಾಂತಿ ಆಸ್ಪತ್ರೆ'}"
307401529,node,Apollo Hospital,12.9263714,77.6765455,"{'addr:city': 'Belandur, Bangalore', 'addr:full': '74/1, Bellandur, Ring Road, Varthur', 'addr:housenumber': '74/1', 'addr:postcode': '560037', 'addr:state': 'Karnataka', 'addr:street': 'Outer Ring Road', 'amenity': 'hospital', 'email': 'whitefield@theapolloclinic.com', 'healthcare': 'hospital', 'name': 'Apollo Hospital', 'name:kn': 'ಅಪೊಲೋ ಆಸ್ಪತ್ರೆ', 'phone': '+91-80-40222555', 'website': 'http://www.apolloclinicbangalore.com/', 'wheelchair': 'yes'}"
308866071,node,Narayana Hrudayalaya Dental Clinic,12.9155759,77.6349897,"{'addr:street': 'Outer Ring Road', 'amenity': 'hospital', 'name': 'Narayana Hrudayalaya Dental Clinic', 'name:kn': 'ನಾರಾಯಣ ಹೃದಯಾಲಯ ದಂತ ಆಸ್ಪತ್ರೆ'}"
310393723,node,Dr Ganesh Medical and Diabetic Clinic,12.9129006,77.6419101,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Dr Ganesh Medical and Diabetic Clinic', 'name:kn': 'ಡಾ ಗಣೇಶ್ ಮೆಡಿಕಲ್ ಮತ್ತು ಮಧುಮೇಹ ಆಸ್ಪತ್ರೆ'}"
364629422,node,JBS Hospital,12.9207173,77.5745968,"{'addr:street': 'Kanakapura Road', 'amenity': 'hospital', 'name': 'JBS Hospital', 'name:kn': 'ಜೆ ಬಿ ಎಸ್ ಆಸ್ಪತ್ರೆ'}"
364629734,node,Jayanagar heart Centre,12.9231684,77.584433,"{'amenity': 'hospital', 'check_date': '2025-01-11', 'healthcare': 'hospital', 'name': 'Jayanagar heart Centre'}"
443612463,node,Sri Vijayalakshmi Pragathi Hospital,13.0371728,77.6409543,"{'amenity': 'hospital', 'name': 'Sri Vijayalakshmi Pragathi Hospital', 'name:kn': 'ಶ್ರೀ ವಿಜಯಲಕ್ಷ್ಮೀ ಪ್ರಗತಿ ಆಸ್ಪತ್ರೆ'}"
454142398,node,Sathya Hospital,13.0185503,77.6364728,"{'amenity': 'hospital', 'name': 'Sathya Hospital', 'name:kn': 'ಸತ್ಯ ಆಸ್ಪತ್ರೆ'}"
459464857,node,Ramakrishna Hospital,12.8500655,77.6624706,"{'amenity': 'hospital', 'emergency': 'yes', 'name': 'Ramakrishna Hospital', 'name:kn': 'ರಾಮಕೃಷ್ಣ ಆಸ್ಪತ್ರೆ', 'phone': '+918040800300', 'website': 'http://rkhealth.com/', 'wheelchair': 'yes'}"
519549595,node,Chord Road Hospital Pvt Ltd,12.9981215,77.5404836,"{'addr:city': 'Basaveshwara Nagar, Bangalore', 'addr:district': 'Bengaluru Urban', 'addr:full': '#100/101, Lic Colony West Of Chord, Basaveshwaranagar', 'addr:housenumber': '100', 'addr:postcode': '560079', 'addr:state': 'Karnataka', 'addr:street': 'West of Chord Road (LIC Colony)', 'amenity': 'hospital', 'email': 'chordroadhospital100@yahoo.co.in', 'healthcare:speciality': 'multi speciality', 'name': 'Chord Road Hospital Pvt Ltd', 'name:kn': 'ಕೊರ್ಡ್ ರಸ್ತೆ ಆಸ್ಪತ್ರೆ', 'operator:type': 'private', 'phone': '+91-80-23225858;+91-80-23225868;+91-80-23225878', 'source': 'OpenGovernmentData', 'website': 'http://www.chordroadhospitalent.com/', 'wheelchair': 'yes'}"
530353033,node,Pristline Hospital,12.9978931,77.5436127,"{'addr:city': 'Basaveshwara Nagar, Bangalore', 'addr:housenumber': '877', 'addr:postcode': '560079', 'addr:street': 'Modi Hospital Road (West of Chord Road)', 'amenity': 'hospital', 'email': 'pristinehospitals@pristinehospitals.com', 'fax': '+91-80-41354455', 'healthcare': 'hospital', 'name': 'Pristline Hospital', 'name:kn': 'ಪ್ರಿಸ್ಟೀನ್ ಆಸ್ಪತ್ರೆ', 'phone': '+91-80-41354444;+91-80-51270776', 'website': 'http://www.pristinehospitals.com/'}"
